id,name,skills,location,preferred_field
368,Aaron Grimes,"C++, Machine Learning, SQL, R",Danielburgh,Cybersecurity
369,Richard Holt,"Python, HTML, Java, R, React",Scottborough,Data Science
370,James Patterson,"CSS, C++, React, TensorFlow",Hancockbury,AI/ML
371,Joshua Meyer,"HTML, SQL, Java",Lake Kathrynport,Web Development
372,Jason Hoffman,"Machine Learning, SQL, TensorFlow, CSS",Alexland,Cybersecurity
373,Jason Mcmahon,"R, Machine Learning, CSS, C++",New Denisemouth,AI/ML
374,Tiffany Wright,"C++, Machine Learning, Java, R, SQL",Juliefort,Data Science
375,Jessica Bailey,"HTML, SQL, Java, R",Josephville,Data Science
376,Tyler Johnston,"CSS, SQL, TensorFlow",Peterston,Data Science
377,Jonathan Taylor,"C++, CSS",West Carolyn,Mobile Development
378,Carlos Howard,"R, React, CSS, Java",Lake Michaeltown,AI/ML
379,John Gregory,"Machine Learning, R, SQL, React, TensorFlow",Josephshire,Web Development
380,Kevin Sutton,"R, Python, C++, CSS, Java",New Christianburgh,Cybersecurity
381,Thomas Jones,"React, Java",North Carlosview,Mobile Development
382,Richard Simpson,"Python, React",West Tiffany,Data Science
383,Brittany Brennan,"HTML, Java, TensorFlow, R",Jayberg,AI/ML
384,Mark Thomas,"Machine Learning, R, TensorFlow, C++",Josephborough,AI/ML
385,Lisa Baker,"Java, Python",New Valerie,Data Science
386,Brittany Allen,"React, Python",East Sandrachester,Mobile Development
387,Phillip Floyd,"R, SQL, React",Shortbury,AI/ML
388,Gina Moore,"Python, Machine Learning, React, TensorFlow",Lake Brian,AI/ML
389,Gary Chapman,"CSS, R, HTML",East Loganburgh,AI/ML
390,David Calhoun,"Machine Learning, HTML, Python, Java, CSS",Padillabury,Web Development
391,Jean Robinson,"React, Java, SQL, CSS, R",Clarkmouth,Data Science
392,Scott Navarro,"SQL, TensorFlow, Machine Learning",New Sharonburgh,AI/ML
393,Lori Wyatt,"C++, React, Machine Learning",West Anthony,Cybersecurity
394,Timothy Parker,"Java, Machine Learning, CSS",South Samuelshire,Cybersecurity
395,Charles Lucas,"C++, Java",East Matthewshire,Mobile Development
396,Yolanda Terrell,"SQL, CSS",East Kimberly,Data Science
397,Sean Holt,"C++, Machine Learning",Christopherstad,AI/ML
398,Jennifer Johnson,"C++, TensorFlow, SQL, Machine Learning",New Stacey,Mobile Development
399,Stephen Lewis,"React, R, Python, Java",North Kelly,AI/ML
400,Marilyn Thompson,"React, Python, CSS",Josephland,Cybersecurity
401,Christopher Graves,"React, Java, TensorFlow",Reginaldfurt,AI/ML
402,Raymond Morse,"CSS, Machine Learning, TensorFlow, Python",Port Phillipborough,Web Development
403,Mark Johnson,"Python, TensorFlow, Java",Andrewborough,Web Development
404,Joshua Parker,"TensorFlow, Python, React, Java, C++",Matthewtown,Web Development
405,Corey Walsh,"Java, Python, C++, SQL, TensorFlow",Lake Christine,AI/ML
406,Elizabeth Anderson,"TensorFlow, R, Machine Learning",New Cristinaberg,Data Science
407,Jeffrey Silva,"HTML, CSS, Python, C++, Machine Learning",Yolandaside,Cybersecurity
408,Sarah Ibarra,"SQL, React, Machine Learning, HTML",Davidfurt,Data Science
409,David Baker,"Java, React, HTML, C++",Port Cynthiabury,Cybersecurity
410,Lindsay Waters,"Machine Learning, HTML, Python, Java, React",Robinsonberg,Cybersecurity
411,Christopher Kelly,"Python, SQL, C++, CSS, HTML",Lake Bobby,Data Science
412,Matthew Walters,"TensorFlow, R",Georgeport,AI/ML
413,Becky Thomas,"R, React",Cunninghamport,Mobile Development
414,Alyssa Martinez,"R, CSS, Python, React, C++",Markstad,Cybersecurity
415,Deanna Kane,"HTML, CSS, Machine Learning, TensorFlow, Java",Port Williamfurt,AI/ML
416,Alyssa Hayes,"Python, C++, Machine Learning, Java, CSS",North David,Mobile Development
417,Roger Jordan,"React, R, HTML, Python",East Jasonfort,Mobile Development
418,Christopher Ortega,"TensorFlow, SQL, R, React",North Brian,Data Science
419,Steven Castillo,"CSS, C++, SQL, Java",Lake David,Mobile Development
420,Thomas Henry,"Java, Machine Learning, TensorFlow, Python, CSS",Cunninghamfurt,Mobile Development
421,Jordan Smith,"Machine Learning, TensorFlow, Java, C++, SQL",Lake Pamela,Mobile Development
422,Joshua Robinson,"R, HTML",Andersonstad,Mobile Development
423,Tyler Rodriguez,"C++, R, HTML, TensorFlow",North Ellenmouth,Web Development
424,Catherine Hickman,"Java, C++, Machine Learning, Python",Jamesville,Mobile Development
425,Michelle Alexander,"Python, Machine Learning, HTML, Java",Michelleton,Cybersecurity
426,Nathaniel Gould,"Java, TensorFlow, React, Python",Ashleystad,Web Development
427,Jordan Peterson,"Java, HTML, CSS, Python, R",South Thomasborough,Data Science
428,Teresa Chaney,"CSS, React, Python, TensorFlow",East Douglas,Data Science
429,Cynthia Stewart,"Machine Learning, SQL",North Jorgeview,Data Science
430,James Allen,"SQL, HTML, C++, TensorFlow",East Peggyberg,Data Science
431,Kenneth Wolf,"R, TensorFlow, CSS, Java",North Monicashire,Mobile Development
432,Tyler Wilson,"Java, React, Machine Learning",Nelsonmouth,Cybersecurity
433,Brittany Brown,"C++, HTML",Jasmineberg,AI/ML
434,Nancy Potter,"R, Machine Learning, TensorFlow",Johnsonport,Data Science
435,Rachel Figueroa,"CSS, C++, R, HTML, Machine Learning",Kimberlyhaven,Mobile Development
436,Dr. Elizabeth Rivera PhD,"TensorFlow, C++, CSS, Python, React",New Nicholasland,Data Science
437,Amber Rhodes,"SQL, React, CSS, HTML, Python",South Emmastad,Web Development
438,Richard Keith,"C++, TensorFlow, SQL, React",Morrisville,Data Science
439,Luis Thomas,"Java, Machine Learning, C++, TensorFlow, SQL",Bakerstad,AI/ML
440,Adam Adams,"TensorFlow, HTML, Python",North Shawnton,Cybersecurity
441,Angela Trujillo,"CSS, TensorFlow, React, R",South Maryton,Mobile Development
442,Matthew Ross,"Machine Learning, React, CSS",West Andrea,Data Science
443,Tonya Jenkins,"Java, SQL, Machine Learning",Port Charles,Mobile Development
444,Kendra Rodriguez,"Python, HTML, R, Java",North Ryanview,Data Science
445,Elizabeth Fuller,"Java, Python, TensorFlow",New Tony,Cybersecurity
446,Mrs. Vanessa Bridges,"HTML, R, Java, SQL",West Sarah,Mobile Development
447,Brian Riley,"C++, TensorFlow",East Philip,AI/ML
448,James Cochran,"Java, HTML, Machine Learning",Davidburgh,AI/ML
449,Daniel Davis,"SQL, Python",Garychester,Data Science
450,Kenneth Porter,"HTML, SQL, CSS, Java, React",Collinsshire,Mobile Development
451,Matthew Gross,"TensorFlow, Python, HTML",Danielborough,Mobile Development
452,Lisa Simon,"Python, R",Tyroneland,Cybersecurity
453,Jessica Walker,"Java, TensorFlow",Sullivanfurt,Cybersecurity
454,Christine Johnson,"R, HTML, Python, CSS",Port Ashleyport,Web Development
455,David Howe,"TensorFlow, R",West Timothy,Mobile Development
456,Travis Gregory,"Java, HTML, Python, C++, Machine Learning",West Rhondaburgh,Data Science
457,Faith Brown,"C++, React, SQL, CSS",New Briannamouth,Web Development
458,Crystal Henderson,"C++, React, HTML, TensorFlow, SQL",West William,Cybersecurity
459,Cassandra Martinez,"R, TensorFlow",West Carolburgh,AI/ML
460,Dennis Kennedy,"C++, Python, CSS, HTML",North Patricia,Mobile Development
461,Donald Wright,"HTML, Python, Java, C++",Sarahchester,Cybersecurity
462,Nicholas Sanford,"React, SQL, CSS",North Ann,Data Science
463,Tanner Johnson,"TensorFlow, Python",Diaztown,Mobile Development
464,Alexander Johnson,"HTML, TensorFlow, Machine Learning, Python",Jacksonshire,Cybersecurity
465,Gabriela Summers,"C++, SQL, Python, R",New Danielmouth,Web Development
466,Megan Lane,"React, Java, Machine Learning, TensorFlow",Port Sarah,Mobile Development
467,Michael Stevens,"R, C++",Robinbury,Cybersecurity
468,Jim Jones,"C++, Python, HTML, R, CSS",East Adam,Mobile Development
469,Kayla Andrews,"Machine Learning, C++, R, HTML",Barnestown,Mobile Development
470,Benjamin Walker,"Machine Learning, SQL, CSS, R",South Alexander,Cybersecurity
471,Nicholas Smith,"R, Java, React",Tiffanyberg,Web Development
472,Mary Edwards,"TensorFlow, React",Rayhaven,Data Science
473,Megan Wheeler,"SQL, Machine Learning",Jonathantown,Cybersecurity
474,Laura Lopez,"Python, C++",Port Davidborough,Cybersecurity
475,Tyrone Espinoza,"SQL, R, TensorFlow, HTML, Machine Learning",New Laceyburgh,AI/ML
476,Arthur Roberts,"R, React, CSS",North Heather,AI/ML
477,Noah Wallace,"R, Java, C++, React",Lake Kathrynport,Data Science
478,Christopher Dodson,"TensorFlow, R, Machine Learning, HTML",Chaseland,Data Science
479,David Wall,"CSS, Python",South Crystal,Web Development
480,Craig Castillo,"Python, Machine Learning, R",South David,Data Science
481,Daniel Freeman,"Machine Learning, R, HTML, Java",Goodwinchester,Data Science
482,Aaron Thompson,"HTML, Java, TensorFlow",North Donaldfurt,AI/ML
483,John Rubio,"R, CSS, SQL, Python, TensorFlow",North Annside,Data Science
484,Sarah Marshall,"Python, HTML",Kathleenport,Cybersecurity
485,Ashley Jordan,"TensorFlow, CSS, R, HTML, C++",Stephenhaven,Mobile Development
486,Zachary Smith,"C++, Machine Learning, Java",Josephfurt,Data Science
487,Brandon Campbell,"R, Machine Learning, HTML",Danielton,AI/ML
488,Susan Martin,"Machine Learning, React, TensorFlow, SQL, CSS",Rubioview,Cybersecurity
489,David Walker,"Python, CSS, TensorFlow, C++",West Lauren,Cybersecurity
490,Megan Peck,"HTML, CSS, React, TensorFlow, Java",North Aprilview,AI/ML
491,Donna Osborn,"Python, TensorFlow, Machine Learning, HTML, R",South Brianton,AI/ML
492,Leslie Thomas,"C++, CSS, Python, TensorFlow",Port Erica,AI/ML
493,Mrs. Julia Flores,"SQL, CSS, React, Machine Learning, C++",Tracyfort,Data Science
494,Tonya Allen,"Python, SQL, CSS, R",West Elizabethberg,Mobile Development
495,Kevin Burke,"HTML, React, Java, R",Ambershire,Data Science
496,Charlene Torres,"R, React",South Daniel,Cybersecurity
497,Jennifer Clark,"TensorFlow, Java, SQL",New Whitney,Data Science
498,Zachary Taylor,"HTML, TensorFlow, Machine Learning, C++",Dyershire,Mobile Development
499,Michelle Tran,"R, React, TensorFlow",Ashleyburgh,Mobile Development
500,Scott Hess,"SQL, Python, HTML, CSS",North Rachelfurt,Web Development
501,Melissa Watts,"Machine Learning, R",Richardsonmouth,Cybersecurity
502,David Price,"Java, CSS",Carpentermouth,Data Science
503,Tiffany Wilson,"HTML, Java, React, SQL, R",Stephaniemouth,Web Development
504,Daniel Horne,"Machine Learning, Java, Python, React",Fergusonland,Data Science
505,James Wang,"R, CSS, Machine Learning, SQL",New Daniel,Web Development
506,Ashley Washington,"CSS, React, Machine Learning",Port Meganstad,Cybersecurity
507,Ryan Martinez,"R, Java, Python",New Angela,Web Development
508,Lisa Edwards,"Python, React, Machine Learning, C++",New Louischester,AI/ML
509,Nicholas Price,"SQL, TensorFlow, R, Machine Learning, Python",East Rebecca,Web Development
510,Carol Craig,"Python, TensorFlow",South Laura,Data Science
511,Ricky Gomez,"CSS, R, Java",Barryborough,AI/ML
512,Carol Johnson,"R, Python",North James,Cybersecurity
513,Dawn Anderson,"SQL, Java",East John,AI/ML
514,Amber Webster,"HTML, React",Patriciafort,Data Science
515,Mark Williams MD,"CSS, React, R, SQL",Robertbury,Mobile Development
516,Andre Wiley,"TensorFlow, C++, HTML, SQL, Java",Hallport,AI/ML
517,Rebecca Lopez,"Python, SQL, TensorFlow, HTML, R",Payneshire,Data Science
518,Nicholas Bruce,"CSS, React, C++, Machine Learning, HTML",Jonesberg,AI/ML
519,Paul Roberts,"Python, CSS, HTML, TensorFlow, React",Petersonton,Web Development
520,Natalie Moses,"SQL, HTML, R, C++, Java",Port Whitney,AI/ML
521,Joseph Savage,"C++, Python",Youngshire,Mobile Development
522,Christina Hernandez,"Java, TensorFlow",Port Christopher,Data Science
523,Elizabeth Torres,"CSS, R, C++",North Gary,Cybersecurity
524,Catherine Myers,"CSS, SQL",Port Christian,Cybersecurity
525,Todd Roy,"R, CSS, React",Stantonfurt,Web Development
526,Gary Vasquez,"R, C++",Lake Luis,Mobile Development
527,Jessica Payne,"SQL, HTML",Juliamouth,Web Development
528,Robert Anderson,"C++, React",Michellefort,Mobile Development
529,Jasmine Anderson,"R, HTML",Keyborough,Mobile Development
530,Carrie Marks,"R, React, C++, Java",New Robertton,Data Science
531,Angel Horton,"React, TensorFlow",Lake Kevinfurt,Cybersecurity
532,Marissa Rivera,"CSS, Machine Learning, HTML",Brandimouth,Cybersecurity
533,Chase Alexander,"Java, C++, Machine Learning, React",South Christopher,Web Development
534,Robert Wilson,"Python, C++, Java, CSS",New Belinda,Web Development
535,Jasmine Nelson,"HTML, Machine Learning, C++, CSS, React",Jenniferbury,Mobile Development
536,Tyler Yoder,"Python, SQL",Sanchezmouth,Cybersecurity
537,Joseph Reese,"Python, React, R, Machine Learning",South Brianbury,Web Development
538,Eugene Lee,"R, CSS, C++, Java",Rebeccashire,Web Development
539,Charlene Hernandez,"C++, Java, SQL, CSS",Lozanoton,Data Science
540,Kevin Duncan,"TensorFlow, Machine Learning",Ritaborough,Cybersecurity
541,Jacob Molina,"React, CSS, Java, Python, SQL",West Christophermouth,Web Development
542,Derek Hale,"Java, HTML, Python, R",Hernandezfurt,Web Development
543,Benjamin Cox,"C++, Python, Machine Learning",Lake Morganburgh,AI/ML
544,Katherine Martinez,"TensorFlow, Machine Learning, HTML",North Paulmouth,Data Science
545,Patrick Warren PhD,"CSS, C++",Port Jenniferville,Mobile Development
546,Andrew Wilkerson,"HTML, Python, Machine Learning, TensorFlow",Brandonchester,Data Science
547,David Martinez,"Python, CSS, Java",East Ashleyside,Cybersecurity
548,Tammy Mckinney,"SQL, Machine Learning",Underwoodview,Cybersecurity
549,Paul Hurst,"Java, TensorFlow, React",Larsonland,Mobile Development
550,Bradley Mcfarland,"C++, TensorFlow",Lake Kimberlyport,Cybersecurity
551,Nicole Ramos,"R, TensorFlow, Java",Shealand,Data Science
552,Gary Bell,"Python, CSS",West Jack,Cybersecurity
553,Amanda Williams,"CSS, React, HTML",Port Kellyfort,Web Development
554,Todd Hicks,"SQL, R, C++",East Zachary,Cybersecurity
555,Patrick Johns,"C++, TensorFlow",South Lori,Mobile Development
556,Amanda Mendez,"SQL, C++, R, Python, TensorFlow",Lewisshire,Mobile Development
557,Katrina Davis,"Machine Learning, C++, Java",West Kevin,AI/ML
558,Joshua Richardson,"SQL, Java, R, HTML, TensorFlow",Bowmanside,Data Science
559,Valerie Williams,"R, Python, HTML",Paulhaven,Mobile Development
560,Zachary Nielsen,"React, SQL",West Stephanieburgh,Mobile Development
561,Mike Summers,"CSS, C++, TensorFlow",South Jamesmouth,Data Science
562,Sarah Johnson,"C++, Python",New Carlberg,Data Science
563,Willie Carpenter,"HTML, Python, TensorFlow",Wilkinsonside,AI/ML
564,Brent Frost,"React, Python, TensorFlow, HTML",North Lisaside,Mobile Development
565,Xavier Moss,"R, Python, HTML, C++",Stephenton,Cybersecurity
566,Mason Goodwin,"Machine Learning, React, SQL",West Aaronberg,Web Development
567,Jeanette Werner,"Java, React, SQL",North Julieborough,Web Development
568,Justin Roberts,"Machine Learning, TensorFlow",Elizabethville,Cybersecurity
569,Joe Crosby,"C++, React, CSS, HTML",West Rachel,Data Science
570,Kristina Williams,"HTML, Java, SQL",Amymouth,AI/ML
571,Eileen Hill,"SQL, React, Python, R, HTML",Debraport,Cybersecurity
572,Bradley Bell,"CSS, SQL, TensorFlow, React",Nobleberg,Web Development
573,Jennifer Francis,"HTML, Java, C++, Machine Learning, Python",New Williamton,Web Development
574,Justin Meyer,"CSS, SQL, TensorFlow, Python, Java",Stephenview,AI/ML
575,Teresa Patrick,"Java, Python, SQL, React",Ballfurt,Web Development
576,Roger Ramirez,"Python, Java, C++, CSS",North Eric,Web Development
577,Maureen Crawford,"CSS, Machine Learning, HTML",Lake Manuelland,Web Development
578,Janice Hughes,"HTML, Machine Learning, R, CSS",West Ryan,AI/ML
579,Laura Mahoney,"Java, C++",Kimberlyport,Cybersecurity
580,Amy Gonzalez,"SQL, C++",Cameronstad,Web Development
581,Lawrence Beasley,"React, Python, Java",Lake Gabrielle,Mobile Development
582,Ryan Anderson,"C++, HTML, Machine Learning, CSS, SQL",Rossside,Mobile Development
583,Luis Young,"TensorFlow, SQL, R, Python, C++",North Nicole,Web Development
584,Isabel Roberson,"React, TensorFlow, Java, C++, Python",West Annettechester,AI/ML
585,Russell Byrd,"HTML, Java, R, SQL",Pattersonbury,Cybersecurity
586,Edward Sparks,"TensorFlow, Java, HTML, C++, Python",South Tina,Mobile Development
587,Rodney Brown,"HTML, C++, R",Gomezview,Web Development
588,Laura Carpenter,"TensorFlow, Python",Derekville,AI/ML
589,Vanessa Dunn,"R, Machine Learning",Lake Johnview,AI/ML
590,Victoria Blair,"CSS, Machine Learning, HTML, TensorFlow",Pruittstad,AI/ML
591,Carolyn Jones,"TensorFlow, R, CSS, HTML, C++",Hollandmouth,AI/ML
592,Scott Pope,"React, CSS, SQL, Python, TensorFlow",East Stevenfurt,Cybersecurity
593,Christine Serrano,"Python, C++, HTML, CSS",Gonzalezberg,AI/ML
594,Patricia Lewis,"C++, TensorFlow, Java",Juareztown,Data Science
595,John Williams,"HTML, React, R, SQL",Lake Christopher,Mobile Development
596,Michael Green,"R, Machine Learning",East Danielhaven,Data Science
597,Karen Parker,"Machine Learning, Python, SQL, Java",Sandersfurt,Data Science
598,Robert Evans,"R, CSS, HTML",Snyderfurt,Data Science
599,Bradley Mooney,"TensorFlow, R, React, Python, SQL",East Christopher,Web Development
600,David Morris,"React, CSS",Forbesberg,Mobile Development
601,Jeffrey Jones,"CSS, SQL, React",North Toniside,AI/ML
602,Sarah Mcguire,"TensorFlow, Java",West Cynthia,AI/ML
603,Brianna Forbes,"SQL, React",Elliston,AI/ML
604,Andrea Bates,"C++, CSS",Martinborough,Cybersecurity
605,Sarah Davis,"TensorFlow, HTML, Python, Java, CSS",Cantrellmouth,Web Development
606,Stephen Hughes,"R, CSS",Justinport,Cybersecurity
607,Jill Thompson,"Python, R, CSS",Elijahview,AI/ML
608,Nicole Gonzalez,"Java, C++, Machine Learning, Python, CSS",Evansport,Data Science
609,Joshua Meyer,"React, CSS, C++, Machine Learning, Java",North Tracy,Cybersecurity
610,Marvin Fuller,"TensorFlow, R",Christopherville,Cybersecurity
611,Gregory Santiago,"HTML, Java, SQL, R, CSS",Riversstad,Web Development
612,Jeffery Walker,"React, Machine Learning, Python, SQL",North Kellytown,Data Science
613,John Carpenter,"Python, HTML",Hernandeztown,Mobile Development
614,Emily Bishop,"Machine Learning, TensorFlow",New Pamelastad,Cybersecurity
615,Thomas Jennings,"React, Machine Learning, SQL, CSS, Java",Weekston,Mobile Development
616,Susan Munoz,"Python, TensorFlow, HTML",Morenomouth,Data Science
617,Taylor Hayes,"CSS, Python, TensorFlow",South Alyssatown,Web Development
618,Sharon Christensen,"TensorFlow, CSS, Python, SQL, C++",West Abigailburgh,AI/ML
619,Elizabeth Montoya,"HTML, R",New Andrewshire,Data Science
